Longitude,Latitude,MAR,LogMAR
-21.09,5.45,1.14155E-10,-9.942504106
60.2,5.4,3.50393E-10,-9.455444329
420.2,5.4,3.50393E-10,-9.455444329
339.37,5.37,1.14155E-10,-9.942504106
-20.63,5.37,1.14155E-10,-9.942504106
337.8,5.31,1.58549E-10,-9.799836603
-22.2,5.31,1.58549E-10,-9.799836603
338.29,5.26,1.04642E-10,-9.980292667
-21.71,5.26,1.04642E-10,-9.980292667
338.36,5.07,3.80518E-11,-10.41962536
-21.64,5.07,3.80518E-11,-10.41962536
220,5,8.32382E-12,-11.0796773
-140,5,8.32382E-12,-11.0796773
220,4,9.51294E-12,-11.02168535
264.4,4,1.14155E-11,-10.94250411
-140,4,9.51294E-12,-11.02168535
-95.6,4,1.14155E-11,-10.94250411
220,2,7.53108E-12,-11.12314299
-140,2,7.53108E-12,-11.12314299
67.3,1.9,8.56164E-11,-10.06744284
330,1.9,4.91819E-10,-9.308194809
427.3,1.9,8.56164E-11,-10.06744284
-30,1.9,4.91819E-10,-9.308194809
159.3,1.75,4.34424E-11,-10.36208604
519.3,1.75,4.34424E-11,-10.36208604
326.5,1.4,4.62012E-10,-9.335347055
-33.5,1.4,4.62012E-10,-9.335347055
160.57,1.2198,2.40994E-11,-10.61799301
520.57,1.2198,2.40994E-11,-10.61799301
44.8,1.2,9.00875E-10,-9.045335373
404.8,1.2,9.00875E-10,-9.045335373
346.6,0.6,2.79046E-10,-9.554323935
-13.4,0.6,2.79046E-10,-9.554323935
249.5,0.2,9.51294E-12,-11.02168535
-110.5,0.2,9.51294E-12,-11.02168535
89,0,6.34196E-11,-10.19777661
220,0,7.1347E-12,-11.14662409
449,0,6.34196E-11,-10.19777661
-140,0,7.1347E-12,-11.14662409
6,-0.2,1.94064E-10,-9.712055185
336.8,-0.2,1.58549E-10,-9.799836603
336.9,-0.2,9.83004E-11,-10.00744491
366,-0.2,1.94064E-10,-9.712055185
-23.2,-0.2,1.58549E-10,-9.799836603
-23.1,-0.2,9.83004E-11,-10.00744491
342.7,-0.5,1.47133E-10,-9.832288626
-17.3,-0.5,1.47133E-10,-9.832288626
348.1,-1.2,1.90259E-10,-9.720655357
348.1,-1.2,2.15627E-10,-9.666297694
-11.9,-1.2,1.90259E-10,-9.720655357
-11.9,-1.2,2.15627E-10,-9.666297694
348.1,-1.3,4.4584E-10,-9.350821286
-11.9,-1.3,4.4584E-10,-9.350821286
220,-2,6.34196E-12,-11.19777661
-140,-2,6.34196E-12,-11.19777661
60.55,-3.92,4.75647E-11,-10.32271535
420.55,-3.92,4.75647E-11,-10.32271535
220,-5,3.36917E-12,-11.47247767
349.8,-5,7.67377E-11,-10.11499124
-140,-5,3.36917E-12,-11.47247767
-10.2,-5,7.67377E-11,-10.11499124
345.4,-7.7,6.97615E-11,-10.15638393
-14.6,-7.7,6.97615E-11,-10.15638393
282,-9,1.26839E-09,-8.896746616
-78,-9,1.26839E-09,-8.896746616
162,-25.27,1.99772E-11,-10.69946606
522,-25.27,1.99772E-11,-10.69946606
206.59,-27.67,7.92745E-11,-10.1008666
-153.41,-27.67,7.92745E-11,-10.1008666
162,-29.997,1.3001E-11,-10.88602275
522,-29.997,1.3001E-11,-10.88602275
346.72,-30.58,7.61035E-11,-10.11859537
-13.28,-30.58,7.61035E-11,-10.11859537
161.4,-30.6,1.90259E-11,-10.72065536
521.4,-30.6,1.90259E-11,-10.72065536
297.16,-30.95,3.5515E-10,-9.449588584
297.16,-30.95,9.98858E-10,-9.000496053
-62.84,-30.95,3.5515E-10,-9.449588584
-62.84,-30.95,9.98858E-10,-9.000496053
297.67,-31,4.12227E-10,-9.384863255
-62.33,-31,4.12227E-10,-9.384863255
298.23,-32.31,1.14789E-09,-8.940098036
-61.77,-32.31,1.14789E-09,-8.940098036
298.5,-33,4.28082E-10,-9.368472838
-61.5,-33,4.28082E-10,-9.368472838
162.51,-34.998,2.47336E-11,-10.606712
522.51,-34.998,2.47336E-11,-10.606712
161,-35.499,1.92796E-10,-9.714903028
521,-35.499,1.92796E-10,-9.714903028
285,-36,9.51294E-11,-10.02168535
-75,-36,9.51294E-11,-10.02168535
161.2,-36.5,6.34196E-11,-10.19777661
161.2,-36.5,7.92745E-11,-10.1008666
521.2,-36.5,6.34196E-11,-10.19777661
521.2,-36.5,7.92745E-11,-10.1008666
297.73,-38.72,4.12227E-09,-8.384863255
-62.27,-38.72,4.12227E-09,-8.384863255
174.38,-39,1.58549E-10,-9.799836603
534.38,-39,1.58549E-10,-9.799836603
174.25,-39.13,1.26839E-10,-9.896746616
534.25,-39.13,1.26839E-10,-9.896746616
175,-39.75,2.21969E-10,-9.653708567
535,-39.75,2.21969E-10,-9.653708567
168.3,-40.3,1.45865E-10,-9.836048775
528.3,-40.3,1.45865E-10,-9.836048775
160.51,-41.95,1.36352E-10,-9.865338151
520.51,-41.95,1.36352E-10,-9.865338151
285,-42,1.26839E-10,-9.896746616
-75,-42,1.26839E-10,-9.896746616
294.95,-42.77,8.72019E-09,-8.059473913
-65.05,-42.77,8.72019E-09,-8.059473913
8.9733,-42.873,1.58549E-10,-9.799836603
368.9733,-42.873,1.58549E-10,-9.799836603
8.9,-42.91,3.48808E-10,-9.457413922
368.9,-42.91,3.48808E-10,-9.457413922
160.07,-45.08,1.04642E-10,-9.980292667
520.07,-45.08,1.04642E-10,-9.980292667
292.52,-45.86,3.01243E-09,-8.521083002
-67.48,-45.86,3.01243E-09,-8.521083002
